year,country,party,vote,seat,family,lrgen,galtan,country_name,econ_ideology,social_ideology
2014,2,V,26.4,26.299999,3,7.0,5.699999809265137,Denmark,0.4,0.13999996185302735
2014,2,SF,9.1,8.8999996,6,2.900000095367432,3.099999904632568,Denmark,-0.4199999809265136,-0.3800000190734864
2014,2,DF,12.2,12.3,1,6.900000095367432,8.399999618530273,Denmark,0.38000001907348635,0.6799999237060547
2014,2,RV,9.4,9.5,3,5.699999809265137,1.899999976158142,Denmark,0.13999996185302735,-0.6200000047683716
2014,2,KF,4.9,4.5,2,7.0,7.199999809265137,Denmark,0.4,0.43999996185302737
2014,2,EL,6.6,6.6999998,6,1.200000047683716,2.099999904632568,Denmark,-0.7599999904632568,-0.5800000190734864
2019,2,SD,25.9,27.4,5,4.0,5.0,Denmark,-0.2,0.0
2019,2,KF,6.6,6.9000001,2,7.071428775787354,6.071428775787354,Denmark,0.4142857551574709,0.2142857551574709
2019,2,RV,8.6,9.1000004,3,5.071428775787354,1.357142806053162,Denmark,0.01428575515747088,-0.7285714387893676
2019,2,SF,7.7,8.0,7,2.642857074737549,2.571428537368774,Denmark,-0.47142858505249025,-0.4857142925262452
2019,2,v,23.4,24.6,3,6.642857074737549,5.357142925262451,Denmark,0.32857141494750974,0.07142858505249024
2019,2,EL,6.9,7.4000001,6,1.0,1.071428537368774,Denmark,-0.8,-0.7857142925262453
2019,2,DF,8.7,9.1000004,1,6.928571224212646,8.0,Denmark,0.38571424484252914,0.6
2019,2,LA,2.3,2.3,3,8.0,3.857142925262451,Denmark,0.6,-0.22857141494750977
2019,2,NB,2.4,2.3,1,9.0,8.307692527770996,Denmark,0.8,0.6615385055541992
2019,2,A,3.0,2.9000001,7,2.5,0.9285714030265808,Denmark,-0.5,-0.8142857193946839
2024,2,SF,8.29,8.6000004,7,2.727272748947144,3.0,Denmark,-0.4545454502105712,-0.4
2024,2,NB,3.66,3.4000001,1,8.818181991577148,7.181818008422852,Denmark,0.7636363983154297,0.43636360168457033
2024,2,RV,3.79,4.0,3,4.909090995788574,1.727272748947144,Denmark,-0.018181800842285156,-0.6545454502105712
2024,2,M,9.27,9.1000004,3,5.545454502105713,3.818181753158569,Denmark,0.10909090042114258,-0.23636364936828622
2024,2,DD,8.08,8.0,1,7.545454502105713,6.545454502105713,Denmark,0.5090909004211426,0.30909090042114257
2024,2,S,27.54,28.6,5,4.0,4.0,Denmark,-0.2,-0.2
2024,2,ALT,3.33,3.4000001,7,2.0,1.727272748947144,Denmark,-0.6,-0.6545454502105712
2024,2,LA,7.87,8.0,3,7.818181991577148,4.545454502105713,Denmark,0.5636363983154297,-0.09090909957885743
2024,2,V,13.31,13.1,3,6.636363506317139,4.636363506317139,Denmark,0.3272727012634277,-0.07272729873657227
2024,2,DF,2.63,2.9000001,1,8.0,7.636363506317139,Denmark,0.6,0.5272727012634277
2024,2,DKF,5.51,5.6999998,2,7.0,5.909090995788574,Denmark,0.4,0.18181819915771485
2024,2,EL,5.16,5.0999999,6,1.272727251052856,1.909090876579285,Denmark,-0.7454545497894288,-0.6181818246841431
1999,3,CDU,28.4,29.6,4,5.866666793823242,6.333333492279053,Germany,0.17333335876464845,0.26666669845581054
1999,3,FDP,6.2,6.4000001,3,6.066666603088379,3.0,Germany,0.2133333206176758,-0.4
1999,3,DVU,1.20000004768372,0.0,1,9.769230842590332,9.75,Germany,0.9538461685180664,0.95
1999,3,CSU,6.7,7.0,4,7.199999809265137,7.800000190734863,Germany,0.43999996185302737,0.5600000381469726
1999,3,PDS,5.1,5.4000001,6,1.266666650772095,3.333333253860474,Germany,-0.746666669845581,-0.3333333492279052
1999,3,SPD,40.9,44.5,5,4.0,3.599999904632568,Germany,-0.2,-0.28000001907348643
1999,3,Grunen,6.7,7.0,7,3.0,1.200000047683716,Germany,-0.4,-0.7599999904632568
1999,3,REP,1.79999995231628,0.0,1,9.214285850524902,9.416666984558104,Germany,0.8428571701049805,0.8833333969116207
2002,3,CSU,9.0,9.6000004,4,7.36,7.64,Germany,0.4720000000000001,0.5279999999999999
2002,3,SPD,38.5,41.599998,5,4.0,4.57,Germany,-0.2,-0.08599999999999994
2002,3,CDU,29.5,31.5,4,5.93,6.64,Germany,0.18599999999999994,0.32799999999999996
2002,3,FDP,7.4,7.8000002,3,6.07,3.57,Germany,0.21400000000000005,-0.28600000000000003
2002,3,Grunen,8.6,9.1000004,7,3.36,1.93,Germany,-0.328,-0.6140000000000001
2002,3,PDS,4.0,0.30000001,6,1.64,4.27,Germany,-0.672,-0.14600000000000007
2006,3,CDU,27.8,29.299999,4,6.36,6.91,Germany,0.2720000000000001,0.382
2006,3,Linkspartei/PDS,8.7,8.8000002,6,1.27,3.18,Germany,-0.746,-0.364
