econ_ideology,social_ideology,partisan_lean,partisan_strength,turnout_propensity,gender,educ,race,urban_rural
-1.0,0.884550649498181,-0.6666666666666666,0.6666666666666666,0.97,1,2,1,2
0.0,0.9182456890975939,-0.6666666666666666,0.6666666666666666,0.49,1,2,2,1
0.0,-1.0,-0.6666666666666666,0.6666666666666666,0.97,2,5,1,3
-1.0,-0.4988866039355983,-0.6666666666666666,0.6666666666666666,0.97,1,6,1,2
0.5,0.6789798966365082,1.0,1.0,0.97,1,2,1,2
1.0,0.7466662449609452,1.0,1.0,0.97,1,2,3,1
0.0,-1.0,-0.6666666666666666,0.6666666666666666,0.97,1,6,1,2
-1.0,0.9012482131777835,-1.0,1.0,0.97,1,3,2,1
0.0,-1.0,-0.3333333333333333,0.3333333333333333,0.97,1,5,1,1
0.0,-0.568694814741466,0.0,0.0,0.9,2,5,1,2
0.5,1.0,0.3333333333333333,0.3333333333333333,0.97,2,2,1,1
0.5,0.7142712421857683,1.0,1.0,0.38,1,2,1,3
0.0,0.6837606735293371,0.0,0.0,0.86,1,4,1,3
-0.5,-0.7946481502057272,-1.0,1.0,0.97,2,6,1,3
0.5,1.0,0.6666666666666666,0.6666666666666666,0.88,2,2,1,2
0.5,1.0,1.0,1.0,0.97,1,4,1,2
-1.0,-0.5111305756929407,-1.0,1.0,0.97,2,4,1,4
0.0,-0.8837645827514151,-0.6666666666666666,0.6666666666666666,0.91,2,5,2,3
-0.5,1.0,-1.0,1.0,0.97,1,2,1,2
0.5,0.18365161283501924,0.3333333333333333,0.3333333333333333,0.8800000000000001,1,2,5,3
0.0,0.8958271326958588,-1.0,1.0,0.97,1,3,2,1
0.0,-1.0,0.6666666666666666,0.6666666666666666,0.97,1,6,2,3
0.0,-0.8205456413910795,-0.3333333333333333,0.3333333333333333,0.97,1,6,1,2
0.0,-0.889630897191775,-0.6666666666666666,0.6666666666666666,0.5299999999999999,2,5,4,2
0.0,-0.30550122088606674,-1.0,1.0,0.97,1,2,2,4
0.5,1.0,0.6666666666666666,0.6666666666666666,0.97,2,2,1,2
0.0,-0.13737462264998454,-0.6666666666666666,0.6666666666666666,0.97,2,4,4,2
-0.5,-1.0,-0.3333333333333333,0.3333333333333333,0.97,1,6,1,1
1.0,-1.0,0.3333333333333333,0.3333333333333333,0.97,1,5,1,2
0.5,-0.7276561555949225,0.6666666666666666,0.6666666666666666,0.97,1,5,1,1
-1.0,0.43574911124727583,-1.0,1.0,0.91,2,2,1,2
0.0,1.0,-1.0,1.0,0.97,1,3,1,1
0.0,-1.0,0.3333333333333333,0.3333333333333333,0.48999999999999994,1,6,1,4
1.0,-0.8320917904854285,1.0,1.0,0.97,1,5,1,4
0.5,0.8726341001572572,1.0,1.0,0.97,1,2,1,3
-0.5,0.01558379769575744,-1.0,1.0,0.97,2,5,1,2
0.0,1.0,0.6666666666666666,0.6666666666666666,0.5299999999999999,1,2,1,1
1.0,1.0,1.0,1.0,0.97,2,2,1,2
0.5,0.029997807983383726,1.0,1.0,0.9600000000000001,2,5,1,2
0.0,0.357606279521203,0.6666666666666666,0.6666666666666666,0.9,2,5,1,1
1.0,-1.0,1.0,1.0,0.97,2,6,1,4
1.0,1.0,0.3333333333333333,0.3333333333333333,0.32999999999999996,2,3,1,2
0.0,-1.0,-1.0,1.0,0.97,1,6,1,3
-0.5,-0.27772835976832216,-1.0,1.0,0.97,2,5,1,1
0.0,1.0,0.0,0.0,0.37,1,2,1,1
0.5,1.0,0.6666666666666666,0.6666666666666666,0.87,2,2,1,2
0.0,1.0,-0.6666666666666666,0.6666666666666666,0.97,2,2,4,1
-0.5,-1.0,-0.3333333333333333,0.3333333333333333,0.9500000000000001,2,4,1,3
0.0,-0.2884993569813873,-0.6666666666666666,0.6666666666666666,0.97,2,6,1,2
0.0,0.7063636256009874,-1.0,1.0,0.9,1,2,2,1
0.0,-1.0,-0.6666666666666666,0.6666666666666666,0.97,2,6,1,3
1.0,0.29415079906067243,1.0,1.0,0.97,1,3,1,2
1.0,-0.1118765162950511,1.0,1.0,0.97,1,2,1,4
-0.5,-1.0,0.0,0.0,0.93,1,5,1,2
0.5,0.8787265090402443,1.0,1.0,0.97,2,1,1,4
0.0,0.41199163755885293,-0.6666666666666666,0.6666666666666666,0.97,2,2,1,4
